Stoel;Prijs;Status;Klant
0;10,8;vrij;
1;10;vrij;
2;10;vrij;
3;10;vrij;
4;11,1;vrij;
5;11,1;vrij;
6;11,12;vrij;
7;11,1;vrij;
8;10;vrij;
9;10;vrij;
10;10;vrij;
11;10;bezet;NieuweKlant
12;10;vrij;
13;10;vrij;
14;10;vrij;
15;10;vrij;
16;11;vrij;
17;11;vrij;
18;11;vrij;
19;11;vrij;
20;10;vrij;
21;10;vrij;
22;10;vrij;
23;10;bezet;NieuweKlant
24;10;vrij;
25;10;vrij;
26;10;vrij;
27;10;vrij;
28;11;vrij;
29;11;vrij;
30;11;vrij;
31;11;vrij;
32;10;vrij;
33;10;vrij;
34;10;vrij;
35;10;vrij;
36;10;vrij;
37;10;vrij;
38;10;vrij;
39;10;vrij;
40;11;vrij;
41;11;vrij;
42;11;vrij;
43;11;vrij;
44;10;vrij;
45;10;vrij;
46;10;vrij;
47;10;vrij;
