Stoel;Prijs;Status;Klant
0;108;vrij;
1;10;vrij;
2;10;bezet;safdsf@adfsg.com
3;10;bezet;safdsf@adfsg.com
4;111;vrij;
5;111;vrij;
6;1112;vrij;
7;111;vrij;
8;10;vrij;
9;10;vrij;
10;10;vrij;
11;10;vrij;
12;10;vrij;
13;10;vrij;
14;10;bezet;safdsf@adfsg.com
15;10;bezet;safdsf@adfsg.com
16;11;vrij;
17;11;bezet;kq2eihjq2o@adskljhasd.com
18;11;vrij;
19;11;vrij;
20;10;bezet;safdsf@adfsg.com
21;10;bezet;safdsf@adfsg.com
22;10;vrij;
23;10;vrij;
24;10;vrij;
25;10;vrij;
26;10;vrij;
27;10;vrij;
28;11;bezet;safdsf@adfsg.com
29;11;vrij;
30;11;vrij;
31;11;bezet;safdsf@adfsg.com
32;10;bezet;safdsf@adfsg.com
33;10;bezet;safdsf@adfsg.com
34;10;vrij;
35;10;vrij;
36;10;vrij;
37;10;vrij;
38;10;vrij;
39;10;vrij;
40;11;vrij;
41;11;vrij;
42;11;vrij;
43;11;vrij;
44;10;vrij;
45;10;vrij;
46;10;vrij;
47;10;vrij;
